Hydrogen,Oxigen,Nitrogen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,DBDS,Power factor,Interfacial V,Dielectric rigidity,Water content,Health index,Life expectation,CO_H2_ratio,CH4_H2_ratio,C2H4_H2_ratio,C2H2_H2_ratio,H2_N2_ratio,O2_N2_ratio,H2_CO2_ratio,TransformerID,InstallationDate,MaintenanceSchedule,ReplacementHistory,MaintenanceID,MaintenanceType,MaintenanceDate,TransformerLoad,Temperature,Vibration,Humidity,Precipitation,Alerts,IncidentType,IncidentDetails,OperationID,OperatingTime,LoadCondition,PerformanceMetrics
2845,5860,27842,7406,32,1344,16684,5467,7,19.0,1.0,45,55,0,95.2,19.0,0.01124780316344464,2.6031634446397187,5.864323374340949,0.002460456942003515,0.1021837511673012,0.21047338553264852,2.1168154761904763,TX-2194,2010-12-11,2020-10-19,Replaced major components,MNT-63491,Emergency Maintenance,2023-03-02,1688.035190818959,93.43532064836248,3.2088428958759185,46.44832888984773,33.64084060902604,High Temperature Alert,None,No incidents,OP-2449,39.4166608289528,High Load,Performance stable with a load of 1688.035190818959 KW and temperature 93.43532064836248°C
12886,61,25041,877,83,864,4,305,0,45.0,1.0,45,55,0,85.5,19.0,0.006441098866987428,0.06805835790780693,0.0003104144032283098,0.0,0.5145960624575696,0.0024360049518789184,14.914351851851851,TX-9069,2005-10-02,2021-03-20,Replaced major components,MNT-24761,Emergency Maintenance,2023-01-29,616.5672792460182,74.53842184051585,5.550855378036806,44.33979114757395,20.26576689255729,None,Storm,Severe weather affecting transformer,OP-7106,38.32009383043642,Normal Load,Performance stable with a load of 616.5672792460182 KW and temperature 74.53842184051585°C
2820,16400,56300,144,257,1080,206,11,2190,1.0,1.0,39,52,11,85.3,19.0,0.09113475177304965,0.05106382978723404,0.07304964539007092,0.776595744680851,0.05008880994671403,0.2912966252220249,2.611111111111111,TX-2960,2001-01-17,2022-10-27,No major replacements,MNT-49680,Preventive Maintenance,2023-04-14,1588.9180120546187,40.51904905095357,7.678809980043569,89.42849424419185,7.317214204651168,None,Storm,Severe weather affecting transformer,OP-8037,38.29619667283355,High Load,Performance stable with a load of 1588.9180120546187 KW and temperature 40.51904905095357°C
1099,70,37520,545,184,1402,6,230,0,87.0,4.58,33,49,5,85.3,6.0,0.16742493175614195,0.4959053685168335,0.00545950864422202,0.0,0.029291044776119404,0.0018656716417910447,0.7838801711840229,TX-5722,2001-01-07,2023-03-23,No major replacements,MNT-79121,Preventive Maintenance,2023-08-27,1109.9180563443924,93.07593154379416,1.4037483853455912,87.10690356953243,15.628352634928616,High Temperature Alert,Flood,Flood occurred causing minor damage,OP-3007,38.29619667283355,Normal Load,Performance stable with a load of 1109.9180563443924 KW and temperature 93.07593154379416°C
3210,3570,47900,160,360,2130,4,43,4,1.0,0.77,44,55,3,85.2,6.0,0.11214953271028037,0.04984423676012461,0.0012461059190031153,0.0012461059190031153,0.06701461377870564,0.07453027139874739,1.5070422535211268,TX-3419,2004-07-21,2020-03-03,No major replacements,MNT-63381,Preventive Maintenance,2023-10-14,361.14232990333386,25.27326308744869,8.63204486822031,96.77771045364607,46.04051083675552,None,None,No incidents,OP-2676,38.28422707423801,Normal Load,Performance stable with a load of 361.14232990333386 KW and temperature 25.27326308744869°C
13500,343,36500,3150,113,984,5,1230,1,1.0,4.93,37,52,6,75.6,6.0,0.00837037037037037,0.23333333333333334,0.00037037037037037035,7.407407407407407e-05,0.3698630136986301,0.009397260273972603,13.71951219512195,TX-7819,2006-08-02,2021-08-05,Replaced major components,MNT-38543,Emergency Maintenance,2021-11-16,313.8685623007602,27.631267377008967,3.3755864585978177,43.37284622268457,7.795864366693317,None,Flood,Flood occurred causing minor damage,OP-2484,37.06437859821982,Normal Load,Performance stable with a load of 313.8685623007602 KW and temperature 27.631267377008967°C
10200,11900,33700,573,87,611,0,162,0,1.0,3.53,45,55,5,75.6,6.0,0.008529411764705883,0.05617647058823529,0.0,0.0,0.3026706231454006,0.35311572700296734,16.693944353518823,TX-8519,2007-05-30,2023-05-28,Replaced major components,MNT-65990,Emergency Maintenance,2023-08-07,690.7290434215763,26.623798740334628,8.216396757158341,68.00129872462355,13.777534464118702,None,None,No incidents,OP-5957,37.06437859821982,Normal Load,Performance stable with a load of 690.7290434215763 KW and temperature 26.623798740334628°C
3,15459,41347,5,68,902,12,2,13,5.0,0.58,41,71,6,73.2,19.0,22.666666666666668,1.6666666666666667,4.0,4.333333333333333,7.25566546545094e-05,0.3738844414346869,0.0033259423503325942,TX-7141,2005-06-30,2021-02-03,No major replacements,MNT-88700,Preventive Maintenance,2022-01-31,729.131530046944,76.34394721837738,6.386985882130746,58.97832644005823,18.593432814765894,None,None,No incidents,OP-6936,36.735186126605306,Normal Load,Performance stable with a load of 729.131530046944 KW and temperature 76.34394721837738°C
16,2470,59600,8,520,2660,5,8,2,164.0,0.29,44,56,4,72.8,6.0,32.5,0.5,0.3125,0.125,0.00026845637583892615,0.041442953020134225,0.006015037593984963,TX-4007,2003-09-26,2023-06-23,No major replacements,MNT-85695,Preventive Maintenance,2023-10-13,607.194506798023,86.78878501411864,5.790100409221862,24.567390606289745,11.525168875290198,None,Storm,Severe weather affecting transformer,OP-6092,36.67927321063974,Normal Load,Performance stable with a load of 607.194506798023 KW and temperature 86.78878501411864°C
488,11861,48353,13,85,1957,29,23,0,164.0,0.27,37,72,10,68.0,6.0,0.17418032786885246,0.02663934426229508,0.05942622950819672,0.0,0.010092445143010775,0.24530018819928442,0.24936126724578436,TX-2842,2011-01-01,2022-03-13,No major replacements,MNT-83073,Preventive Maintenance,2023-03-18,787.9872550850556,21.041971381695195,3.4348124406188774,70.6234867209181,29.76998295526883,None,None,No incidents,OP-7807,35.983270659348584,Normal Load,Performance stable with a load of 787.9872550850556 KW and temperature 21.041971381695195°C
4,26100,60600,1,206,1440,13,0,13,5.0,1.32,40,56,4,63.4,6.0,51.5,0.25,3.25,3.25,6.6006600660066e-05,0.4306930693069307,0.002777777777777778,TX-1873,2002-09-27,2023-01-08,No major replacements,MNT-26380,Preventive Maintenance,2023-11-22,573.4742788867065,92.92760626605455,3.301592302966826,88.51434797053732,30.96148106149652,High Temperature Alert,None,No incidents,OP-5244,35.26853756003301,Normal Load,Performance stable with a load of 573.4742788867065 KW and temperature 92.92760626605455°C
4,21800,46200,0,75,655,3,0,11,0.0,0.65,42,53,5,63.4,6.0,18.75,0.0,0.75,2.75,8.658008658008658e-05,0.47186147186147187,0.0061068702290076335,TX-7330,2012-08-21,2023-06-06,No major replacements,MNT-29150,Preventive Maintenance,2023-11-03,273.286959751973,79.35274665894391,3.3169096656105057,28.256674574510818,13.149727676559381,None,None,No incidents,OP-7955,35.26853756003301,Normal Load,Performance stable with a load of 273.286959751973 KW and temperature 79.35274665894391°C
254,592,60300,14,376,2500,5,9,0,205.0,0.44,42,42,6,61.3,6.0,1.4803149606299213,0.05511811023622047,0.01968503937007874,0.0,0.004212271973466003,0.009817578772802654,0.1016,TX-6053,2000-10-30,2021-07-11,No major replacements,MNT-34812,Preventive Maintenance,2023-09-18,324.80107196399825,35.32961393520789,6.849255388944,70.81039790425658,4.2559137096718995,None,None,No incidents,OP-7175,34.92482308553286,Normal Load,Performance stable with a load of 324.80107196399825 KW and temperature 35.32961393520789°C
23349,2475,28011,5045,156,48,5588,3532,2951,0.0,1.0,52,70,2,60.5,19.0,0.0066812283181292564,0.21606921067283397,0.23932502462632232,0.1263865690179451,0.8335653850273107,0.0883581450144586,486.4375,TX-7824,2005-09-09,2023-07-12,Replaced major components,MNT-51809,Emergency Maintenance,2023-10-14,1137.2696330721355,45.88922449341686,8.589597048795262,56.15978304629692,39.164646032078316,None,None,No incidents,OP-3332,34.790777392620925,Normal Load,Performance stable with a load of 1137.2696330721355 KW and temperature 45.88922449341686°C
9040,1870,47500,1790,183,2060,7820,638,1450,0.0,1.0,42,55,18,60.5,19.0,0.020243362831858406,0.19800884955752213,0.8650442477876106,0.16039823008849557,0.19031578947368422,0.03936842105263158,4.388349514563107,TX-8395,2004-10-09,2023-04-20,No major replacements,MNT-61000,Corrective Maintenance,2023-12-21,223.96130729828337,52.76066434980563,4.995085046594284,41.023144124596165,37.1465164135037,None,None,No incidents,OP-7963,34.790777392620925,Normal Load,Performance stable with a load of 223.96130729828337 KW and temperature 52.76066434980563°C
13200,1120,32800,2650,156,2240,16400,1610,1510,0.0,1.0,45,58,22,60.5,19.0,0.011818181818181818,0.20075757575757575,1.2424242424242424,0.1143939393939394,0.4024390243902439,0.03414634146341464,5.892857142857143,TX-4227,2007-09-23,2022-08-18,Replaced major components,MNT-85085,Emergency Maintenance,2023-02-20,351.51780927154044,45.64793302404951,1.1783640258600692,72.99387033999858,25.789255358498885,None,None,No incidents,OP-2914,34.790777392620925,Normal Load,Performance stable with a load of 351.51780927154044 KW and temperature 45.64793302404951°C
6620,5250,51900,2240,190,1870,13100,1400,1660,0.0,1.0,42,54,21,60.5,19.0,0.028700906344410877,0.338368580060423,1.9788519637462236,0.25075528700906347,0.12755298651252409,0.10115606936416185,3.5401069518716577,TX-6779,2010-08-26,2021-12-24,No major replacements,MNT-43061,Corrective Maintenance,2023-11-15,1103.057167409744,89.98567730162213,3.8140852108497425,26.332934761225477,31.323922687315697,None,None,No incidents,OP-9610,34.790777392620925,Normal Load,Performance stable with a load of 1103.057167409744 KW and temperature 89.98567730162213°C
8710,4530,42800,658,437,1780,1260,97,9740,1.0,1.0,45,55,1,60.5,19.0,0.050172215843857636,0.07554535017221585,0.1446613088404133,1.1182548794489093,0.20350467289719626,0.10584112149532711,4.893258426966292,TX-2981,2005-08-22,2021-02-14,Replaced major components,MNT-83048,Emergency Maintenance,2021-09-18,1977.4785772374603,65.89623678571961,8.818877691039322,23.764875465235633,48.74610778499547,None,None,No incidents,OP-6494,34.790777392620925,High Load,Performance stable with a load of 1977.4785772374603 KW and temperature 65.89623678571961°C
5810,11900,51400,471,354,1470,798,44,3990,1.0,1.0,44,50,16,60.5,19.0,0.060929432013769366,0.0810671256454389,0.13734939759036144,0.6867469879518072,0.11303501945525292,0.23151750972762647,3.9523809523809526,TX-2818,2008-08-13,2023-01-15,No major replacements,MNT-20740,Preventive Maintenance,2023-08-04,299.08942510589293,86.79277512540959,4.132015295752489,76.15885942778041,25.725221051603103,None,None,No incidents,OP-9413,34.790777392620925,Normal Load,Performance stable with a load of 299.08942510589293 KW and temperature 86.79277512540959°C
757,289,57400,1700,1730,24900,2280,755,12,0.0,42.1,24,51,77,60.5,19.0,2.2853368560105682,2.2457067371202113,3.011889035667107,0.015852047556142668,0.01318815331010453,0.005034843205574913,0.03040160642570281,TX-8592,2008-06-12,2023-01-02,No major replacements,MNT-82408,Preventive Maintenance,2023-03-24,444.654001013956,57.696860133170425,1.3425319556592918,61.37658864751687,32.849848287864496,None,None,No incidents,OP-3091,34.790777392620925,Normal Load,Performance stable with a load of 444.654001013956 KW and temperature 57.696860133170425°C
590,23200,63900,949,209,51,828,168,582,0.0,1.0,45,55,4,60.5,6.9,0.35423728813559324,1.6084745762711865,1.4033898305084747,0.9864406779661017,0.009233176838810642,0.36306729264475746,11.568627450980392,TX-6142,2009-04-01,2020-12-23,No major replacements,MNT-48460,Preventive Maintenance,2021-06-05,1909.193436040616,57.37715575099064,2.7888277750540102,20.81222878542099,5.101260623302128,None,Lightning Strike,Lightning Strike occurred causing minor damage,OP-7072,34.790777392620925,High Load,Performance stable with a load of 1909.193436040616 KW and temperature 57.37715575099064°C
1310,2690,51900,1010,119,2220,2520,376,17,0.0,0.25,45,29,34,60.5,19.0,0.09083969465648854,0.7709923664122137,1.9236641221374047,0.012977099236641221,0.025240847784200385,0.051830443159922926,0.5900900900900901,TX-8414,2006-12-16,2023-12-10,No major replacements,MNT-26033,Preventive Maintenance,2023-12-30,1483.4096094984716,91.1965068105334,6.370527815821466,30.892891632676278,1.218614075533575,High Temperature Alert,Storm,Severe weather affecting transformer,OP-3728,34.790777392620925,Normal Load,Performance stable with a load of 1483.4096094984716 KW and temperature 91.1965068105334°C
